"game_name","game_number","ticket_price","overall_odds_1_in","prize_amount","prize_breakdown","n_prizes","approx_odds_1_in","implied_probability","tolerance_pct","raw"
"£100 TRIPLER","1495",2,3.32,2,"£2",819920,10,0.1,5,"£2    £2                                                        819,920                   10           +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,4,"£4",378429,20,0.05,5,"£4    £4                                                        378,429                  20            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,4,"£2 x 2",378432,20,0.05,5,"£4    £2 x 2                                                    378,432                  20            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,5,"£5",416331,19,0.0526315789473684,5,"£5    £5                                                         416,331                  19           +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,6,"£6",25215,301,0.00332225913621262,5,"£6    £6                                                          25,215                301            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,6,"£2 TRIPLER",63052,121,0.00826446280991736,5,"£6    £2 TRIPLER                                                 63,052                  121           +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,6,"£2 + £4",37851,200,0.005,5,"£6    £2 + £4                                                     37,851               200             +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,10,"£10",12599,601,0.00166389351081531,5,"£10     £10                                                         12,599                601            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,10,"£2 TRIPLER + (£2 x 2)",37857,200,0.005,5,"£10     £2 TRIPLER + (£2 x 2)                                       37,857               200             +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,10,"£2 x 5",12616,600,0.00166666666666667,5,"£10     £2 x 5                                                      12,616               600             +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,12,"£2 TRIPLER x 2",25235,300,0.00333333333333333,5,"£12    £2 TRIPLER x 2                                             25,235                300             +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,12,"£4 TRIPLER",37837,201,0.00497512437810945,5,"£12    £4 TRIPLER                                                  37,837                201            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,15,"£5 TRIPLER",12599,601,0.00166389351081531,5,"£15    £5 TRIPLER                                                  12,599                601            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,20,"£20",12622,600,0.00166666666666667,5,"£20     £20                                                         12,622               600             +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,30,"£30",900,8410,0.000118906064209275,5,"£30     £30                                                            900              8,410            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,30,"£6 TRIPLER + £2 + £10",1258,6017,0.000166195778627223,5,"£30     £6 TRIPLER + £2 + £10                                        1,258              6,017            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,30,"£10 TRIPLER",1194,6339,0.000157753588894147,5,"£30     £10 TRIPLER                                                   1,194             6,339            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,30,"(£2 x 10) + (£5 x 2)",892,8486,0.000117841150129625,5,"£30     (£2 x 10) + (£5 x 2)                                           892             8,486             +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,100,"£100",602,12573,7.95355126063787e-05,5,"£100     £100                                                           602             12,573            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,100,"(£2 TRIPLER x 5) + (£4 TRIPLER x 5) + (£5 x 2)",604,12531,7.98020908147793e-05,5,"£100     (£2 TRIPLER x 5) + (£4 TRIPLER x 5) + (£5 x 2)                604               12,531           +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,100,"£2 TRIPLER + £30 TRIPLER + £4",597,12678,7.88767944470737e-05,5,"£100     £2 TRIPLER + £30 TRIPLER + £4                                 597              12,678            +/- 5.00%"
"£100 TRIPLER","1495",2,3.32,100,"(£2 TRIPLER x 5) + £20 TRIPLER + £10",587,12894,7.7555452148286e-05,5,"£100     (£2 TRIPLER x 5) + £20 TRIPLER + £10                          587              12,894            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,5,"£5",818116,10,0.1,5,"£5    £5                                                  818,116                  10            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,10,"£10",223125,34,0.0294117647058824,5,"£10     £10                                                223,125                   34            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,10,"£5 DOUBLER",322312,24,0.0416666666666667,5,"£10     £5 DOUBLER                                         322,312                   24            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,10,"£5 x 2",272689,28,0.0357142857142857,5,"£10     £5 x 2                                             272,689                   28            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,15,"£15",49580,151,0.00662251655629139,5,"£15    £15                                                 49,580                  151            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,15,"£5 DOUBLER + £5",99139,76,0.0131578947368421,5,"£15    £5 DOUBLER + £5                                      99,139                  76            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,15,"£5 + £10",74448,100,0.01,5,"£15    £5 + £10                                            74,448                 100             +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,15,"£5 x 3",148725,51,0.0196078431372549,5,"£15    £5 x 3                                             148,725                   51            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,20,"£20",24755,301,0.00332225913621262,5,"£20     £20                                                  24,755                301             +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,20,"£10 DOUBLER",49665,150,0.00666666666666667,5,"£20     £10 DOUBLER                                         49,665                 150             +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,20,"£5 x 4",74299,101,0.0099009900990099,5,"£20     £5 x 4                                              74,299                  101            +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,20,"£10 x 2",49665,150,0.00666666666666667,5,"£20     £10 x 2                                             49,665                 150             +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,50,"£50",1542,4824,0.000207296849087894,5,"£50     £50                                                    1,542             4,824             +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,50,"£20 DOUBLER + £10",3540,2102,0.000475737392959087,5,"£50     £20 DOUBLER + £10                                     3,540              2,102             +/- 5.00%"
"£100,000 A MONTH FOR A YEAR","1479",5,3.36,50,"£5 x 10",3533,2106,0.000474833808167142,5,"£50     £5 x 10                                               3,533              2,106             +/- 5.00%"
